-0.84,0.26,0.37,10,0,0,0,0,0,0,0,50,,,,
-0.776,0.26,0.37,9.89,0.000303,-0.0855,0.00332,-0.0308,1.6,0.863,-1.18,50,,,,
-0.713,0.259,0.37,9.78,-0.00427,-0.133,0.0257,-0.0458,3.2,0.0621,-0.289,50,,,,
-0.651,0.258,0.37,9.67,-0.0115,-0.164,0.0289,-0.0711,4.8,0.492,-0.91,50,,,,
-0.59,0.257,0.37,9.57,-0.0226,-0.17,0.0417,-0.0879,6.4,0.0463,-0.421,49.9,,,,
-0.529,0.256,0.37,9.47,-0.0357,-0.165,0.0434,-0.11,7.99,0.258,-0.756,49.9,,,,
-0.468,0.255,0.369,9.37,-0.0513,-0.144,0.0499,-0.127,9.59,0.00228,-0.477,49.9,,,,
-0.409,0.254,0.369,9.28,-0.0679,-0.115,0.0498,-0.147,11.2,0.103,-0.661,49.9,,,,
-0.35,0.253,0.369,9.18,-0.0856,-0.0772,0.052,-0.164,12.8,-0.0487,-0.495,49.8,,,,
-0.291,0.253,0.368,9.08,-0.103,-0.0344,0.0501,-0.183,14.4,-0.00469,-0.597,49.8,,,,
-0.233,0.253,0.367,8.98,-0.121,0.0132,0.0493,-0.2,16,-0.098,-0.493,49.8,,,,
-0.176,0.253,0.366,8.88,-0.138,0.0631,0.0457,-0.217,17.6,-0.0827,-0.549,49.8,,,,
-0.12,0.254,0.365,8.78,-0.154,0.115,0.0426,-0.233,19.2,-0.142,-0.481,49.7,,,,
-0.0638,0.255,0.364,8.68,-0.168,0.167,0.0377,-0.249,20.7,-0.141,-0.511,49.7,,,,
-0.00862,0.256,0.363,8.58,-0.181,0.219,0.0328,-0.264,22.3,-0.181,-0.464,49.7,,,,
0.0459,0.258,0.362,8.47,-0.192,0.269,0.0267,-0.28,23.9,-0.187,-0.478,49.7,,,,
0.0998,0.259,0.361,8.37,-0.201,0.318,0.0204,-0.294,25.5,-0.215,-0.444,49.6,,,,
0.153,0.262,0.359,8.26,-0.207,0.365,0.0133,-0.309,27.1,-0.224,-0.449,49.6,,,,
0.206,0.264,0.358,8.16,-0.211,0.408,0.00593,-0.323,28.7,-0.244,-0.422,49.6,,,,
0.257,0.267,0.357,8.05,-0.212,0.449,-0.00215,-0.336,30.3,-0.254,-0.422,49.6,,,,
0.309,0.27,0.355,7.94,-0.21,0.486,-0.0104,-0.349,31.9,-0.269,-0.4,49.6,,,,
0.359,0.273,0.354,7.83,-0.205,0.519,-0.0193,-0.362,33.5,-0.279,-0.397,49.5,,,,
0.409,0.276,0.353,7.73,-0.198,0.548,-0.0283,-0.374,35,-0.291,-0.379,49.5,,,,
0.458,0.28,0.352,7.62,-0.187,0.573,-0.0378,-0.386,36.6,-0.3,-0.373,49.5,,,,
0.506,0.284,0.35,7.51,-0.174,0.594,-0.0476,-0.398,38.2,-0.31,-0.358,49.5,,,,
0.554,0.288,0.349,7.4,-0.158,0.61,-0.0577,-0.409,39.8,-0.319,-0.351,49.5,,,,
0.601,0.292,0.348,7.3,-0.138,0.623,-0.068,-0.42,41.4,-0.327,-0.338,49.4,,,,
0.647,0.296,0.348,7.19,-0.115,0.63,-0.0786,-0.431,43,-0.336,-0.331,49.4,,,,
0.693,0.3,0.347,7.09,-0.0895,0.633,-0.0894,-0.442,44.5,-0.343,-0.319,49.4,,,,
0.738,0.304,0.346,6.98,-0.0606,0.632,-0.101,-0.452,46.1,-0.35,-0.312,49.4,,,,
0.783,0.308,0.346,6.88,-0.0285,0.626,-0.112,-0.462,47.7,-0.356,-0.302,49.4,,,,
0.826,0.312,0.346,6.78,0.00676,0.616,-0.123,-0.471,49.3,-0.363,-0.296,49.4,,,,
0.869,0.316,0.346,6.68,0.0452,0.602,-0.135,-0.48,50.9,-0.368,-0.287,49.3,,,,
0.912,0.319,0.347,6.58,0.087,0.583,-0.147,-0.49,52.4,-0.374,-0.282,49.3,,,,
0.954,0.323,0.347,6.48,0.132,0.56,-0.159,-0.498,54,-0.379,-0.275,49.3,,,,
0.995,0.327,0.348,6.39,0.18,0.533,-0.171,-0.507,55.6,-0.384,-0.27,49.3,,,,
1.04,0.33,0.35,6.29,0.232,0.502,-0.184,-0.516,57.2,-0.388,-0.265,49.3,,,,
1.08,0.333,0.351,6.2,0.287,0.466,-0.196,-0.524,58.7,-0.392,-0.261,49.3,,,,
1.11,0.336,0.353,6.11,0.346,0.427,-0.209,-0.532,60.3,-0.395,-0.258,49.3,,,,
1.15,0.338,0.356,6.02,0.409,0.384,-0.221,-0.541,61.9,-0.399,-0.256,49.2,,,,
1.19,0.341,0.359,5.93,0.475,0.336,-0.234,-0.549,63.5,-0.401,-0.254,49.2,,,,
1.23,0.343,0.362,5.85,0.545,0.285,-0.247,-0.557,65,-0.404,-0.253,49.2,,,,
1.27,0.344,0.366,5.76,0.619,0.23,-0.26,-0.565,66.6,-0.405,-0.254,49.2,,,,
1.3,0.346,0.37,5.68,0.698,0.171,-0.273,-0.573,68.2,-0.406,-0.255,49.2,,,,
1.34,0.347,0.375,5.59,0.781,0.109,-0.286,-0.581,69.8,-0.406,-0.258,49.2,,,,
1.37,0.347,0.38,5.51,0.868,0.0418,-0.299,-0.59,71.3,-0.406,-0.261,49.2,,,,
1.41,0.347,0.386,5.43,0.959,-0.0289,-0.312,-0.598,72.9,-0.404,-0.266,49.2,,,,
1.44,0.347,0.392,5.35,1.06,-0.104,-0.325,-0.607,74.5,-0.402,-0.272,49.2,,,,
1.48,0.346,0.399,5.27,1.16,-0.183,-0.338,-0.615,76.1,-0.398,-0.279,49.2,,,,
1.51,0.344,0.407,5.19,1.26,-0.266,-0.35,-0.625,77.6,-0.394,-0.287,49.1,,,,
1.54,0.342,0.415,5.11,1.38,-0.354,-0.363,-0.634,79.2,-0.387,-0.296,49.1,,,,
1.58,0.34,0.425,5.02,1.49,-0.447,-0.375,-0.643,80.8,-0.379,-0.306,49.1,,,,
1.61,0.337,0.435,4.94,1.61,-0.544,-0.387,-0.653,82.4,-0.369,-0.317,49.1,,,,
1.64,0.333,0.445,4.85,1.74,-0.647,-0.399,-0.664,83.9,-0.356,-0.329,49.1,,,,
1.67,0.328,0.457,4.76,1.87,-0.755,-0.41,-0.674,85.5,-0.342,-0.341,49.1,,,,
1.7,0.323,0.469,4.67,2.01,-0.868,-0.42,-0.686,87.1,-0.324,-0.353,49.1,,,,
1.73,0.317,0.483,4.58,2.15,-0.987,-0.43,-0.697,88.6,-0.304,-0.365,49.1,,,,
1.76,0.31,0.497,4.47,2.3,-1.11,-0.44,-0.709,90.2,-0.28,-0.377,49.2,,,,
1.79,0.303,0.512,4.37,2.45,-1.24,-0.448,-0.721,91.8,-0.254,-0.389,49.2,,,,
1.82,0.295,0.528,4.26,2.6,-1.38,-0.456,-0.734,93.4,-0.224,-0.399,49.2,,,,
1.84,0.285,0.545,4.14,2.76,-1.52,-0.463,-0.747,94.9,-0.191,-0.409,49.2,,,,
1.87,0.275,0.563,4.01,2.91,-1.67,-0.468,-0.76,96.5,-0.155,-0.416,49.2,,,,
1.89,0.264,0.583,3.88,3.07,-1.82,-0.473,-0.773,98.1,-0.116,-0.421,49.2,,,,
1.92,0.252,0.603,3.74,3.23,-1.98,-0.476,-0.787,99.7,-0.0745,-0.425,49.2,,,,
1.94,0.238,0.624,3.59,3.38,-2.15,-0.477,-0.801,101,-0.0301,-0.426,49.3,,,,
1.96,0.224,0.646,3.44,3.54,-2.32,-0.478,-0.814,103,0.0166,-0.424,49.3,,,,
1.99,0.209,0.669,3.27,3.69,-2.49,-0.476,-0.828,104,0.0653,-0.419,49.3,,,,
2.01,0.192,0.693,3.1,3.84,-2.66,-0.473,-0.841,106,0.116,-0.412,49.4,,,,
2.03,0.175,0.718,2.92,3.98,-2.84,-0.469,-0.854,108,0.167,-0.401,49.4,,,,
2.04,0.1559,0.744,2.73,4.12,-3.02,-0.463,-0.867,109,0.22,-0.388,49.4,,,,
2.06,0.136,0.771,2.54,4.25,-3.2,-0.455,-0.879,111,0.272,-0.372,49.5,,,,
2.08,0.1149,0.799,2.33,4.38,-3.38,-0.445,-0.89,112,0.325,-0.353,49.5,,,,
2.09,0.0927,0.827,2.13,4.5,-3.56,-0.434,-0.901,114,0.377,-0.331,49.5,,,,
2.1,0.06934,0.856,1.91,4.62,-3.74,-0.421,-0.912,115,0.428,-0.306,49.6,,,,
2.11,0.06,0.868,1.83,4.66,-3.81,-0.416,-0.915,116,0.447,-0.296,49.6,,,,
